year,month,weekday,hour,day_type,weather,temp,humidity,windspeed,casual,registered,casual_mov_ave,registered_mov_ave
2011,1,2,0,1,1,9.84,81,0.0,3.0,13.0,,
2011,1,2,1,1,1,9.02,80,0.0,8.0,32.0,,
2011,1,2,2,1,1,9.02,80,0.0,5.0,27.0,,
2011,1,2,3,1,1,9.84,75,0.0,3.0,10.0,,
2011,1,2,4,1,1,9.84,75,0.0,0.0,1.0,,
2011,1,2,5,1,2,9.84,75,6.0032,0.0,1.0,,
2011,1,2,6,1,1,9.02,80,0.0,2.0,0.0,,
2011,1,2,7,1,1,8.2,86,0.0,1.0,2.0,,
2011,1,2,8,1,1,9.84,75,0.0,1.0,7.0,,
2011,1,2,9,1,1,13.12,76,0.0,8.0,6.0,,
2011,1,2,10,1,1,15.58,76,16.9979,12.0,24.0,,
2011,1,2,11,1,1,14.76,81,19.0012,26.0,30.0,,
2011,1,2,12,1,1,17.22,77,19.0012,29.0,55.0,,
2011,1,2,13,1,2,18.86,72,19.9995,47.0,47.0,,
2011,1,2,14,1,2,18.86,72,19.0012,35.0,71.0,,
2011,1,2,15,1,2,18.04,77,19.9995,40.0,70.0,,
2011,1,2,16,1,2,17.22,82,19.9995,41.0,52.0,,
2011,1,2,17,1,2,18.04,82,19.0012,15.0,52.0,,
2011,1,2,18,1,3,17.22,88,16.9979,9.0,26.0,,
2011,1,2,19,1,3,17.22,88,16.9979,6.0,31.0,,
2011,1,2,20,1,2,16.4,87,16.9979,11.0,25.0,,
2011,1,2,21,1,2,16.4,87,12.998,3.0,31.0,,
2011,1,2,22,1,2,16.4,94,15.0013,11.0,17.0,,
2011,1,2,23,1,2,18.86,88,19.9995,15.0,24.0,,
2011,1,3,0,1,2,18.86,88,19.9995,4.0,13.0,,
2011,1,3,1,1,2,18.04,94,16.9979,1.0,16.0,,
2011,1,3,2,1,2,17.22,100,19.0012,1.0,8.0,,
2011,1,3,3,1,2,18.86,94,12.998,2.0,4.0,,
2011,1,3,4,1,2,18.86,94,12.998,2.0,1.0,,
2011,1,3,6,1,3,17.22,77,19.9995,0.0,2.0,,
2011,1,3,7,1,2,16.4,76,12.998,0.0,1.0,,
2011,1,3,8,1,3,16.4,71,15.0013,0.0,8.0,,
2011,1,3,9,1,2,15.58,76,15.0013,1.0,19.0,,
2011,1,3,10,1,2,14.76,81,15.0013,7.0,46.0,,
2011,1,3,11,1,2,14.76,71,16.9979,16.0,54.0,,
2011,1,3,12,1,2,14.76,66,19.9995,20.0,73.0,,
2011,1,3,13,1,2,14.76,66,8.9981,11.0,64.0,,
