datetime,temp,humidity,windspeed,casual,registered,hour,casual_mov_ave,registered_mov_ave,weather_1,weather_2,weather_3,weather_4,weekday_Fri,weekday_Mon,weekday_Sat,weekday_Sun,weekday_Thu,weekday_Tue,weekday_Wed,season_rev_1,season_rev_2,season_rev_3,season_rev_4,day_type_holiday,day_type_weekend,day_type_workingday
2011-01-01 00:00:00,9.84,81,0.0,3.0,13.0,0,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2011-01-01 01:00:00,9.02,80,0.0,8.0,32.0,1,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2011-01-01 02:00:00,9.02,80,0.0,5.0,27.0,2,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2011-01-01 03:00:00,9.84,75,0.0,3.0,10.0,3,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2011-01-01 04:00:00,9.84,75,0.0,0.0,1.0,4,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2011-01-01 05:00:00,9.84,75,6.0032,0.0,1.0,5,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2011-01-01 06:00:00,9.02,80,0.0,2.0,0.0,6,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2011-01-01 07:00:00,8.2,86,0.0,1.0,2.0,7,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2011-01-01 08:00:00,9.84,75,0.0,1.0,7.0,8,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2011-01-01 09:00:00,13.12,76,0.0,8.0,6.0,9,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2011-01-01 10:00:00,15.58,76,16.9979,12.0,24.0,10,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2011-01-01 11:00:00,14.76,81,19.0012,26.0,30.0,11,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2011-01-01 12:00:00,17.22,77,19.0012,29.0,55.0,12,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2011-01-01 13:00:00,18.86,72,19.9995,47.0,47.0,13,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2011-01-01 14:00:00,18.86,72,19.0012,35.0,71.0,14,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2011-01-01 15:00:00,18.04,77,19.9995,40.0,70.0,15,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2011-01-01 16:00:00,17.22,82,19.9995,41.0,52.0,16,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2011-01-01 17:00:00,18.04,82,19.0012,15.0,52.0,17,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2011-01-01 18:00:00,17.22,88,16.9979,9.0,26.0,18,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2011-01-01 19:00:00,17.22,88,16.9979,6.0,31.0,19,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2011-01-01 20:00:00,16.4,87,16.9979,11.0,25.0,20,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2011-01-01 21:00:00,16.4,87,12.998,3.0,31.0,21,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2011-01-01 22:00:00,16.4,94,15.0013,11.0,17.0,22,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2011-01-01 23:00:00,18.86,88,19.9995,15.0,24.0,23,,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2011-01-02 00:00:00,18.86,88,19.9995,4.0,13.0,0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
2011-01-02 01:00:00,18.04,94,16.9979,1.0,16.0,1,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
2011-01-02 02:00:00,17.22,100,19.0012,1.0,8.0,2,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
